mice_id,Geno,bw3,bw4,bw5,bw6,bw7,bw8,bw9,bw10
4495B10,,,21.6,25.89,28.97,34.2,36.45,40.82,44.86
4495B11,FLOX,,20.61,22.95,25.11,27.59,28.96,31.2,33.33
4494B6,FLOX,,,20.74,22.73,25.34,28.54,31.32,34.7
4494B7,FLOX,,,21.55,23.3,25.52,28.43,31.68,34.59
4494B8,CRE+ ,,,19.73,21.24,23.11,25.28,28.22,30.77
4494B9,FLOX,,,21.08,23.08,24.8,27.11,29.59,32.48
4494B10,CRE+ ,,,20.55,23.73,26.86,29.89,33.7,36.78
4494B11,WT,,,23,26.42,30.26,34.12,38.55,42.33
4495C8,KO,,13.24,18.69,22.7,23.91,26.41,27.98,29.33
4495C9,FLOX,,11.86,17.85,22.03,22.89,23.54,25.38,26.92
4495C10,KO,,14.51,19.93,23.01,25.11,30.23,31.88,36.02
4495C11,KO,,14.46,19.33,21.7,24.26,27.07,28.93,31.58
4495C12,WT,,13.84,20.23,22.75,24.78,27.32,28.88,30.78
4494C6,CRE+ ,10.7,19.05,23.06,25.1,27.59,30.11,32.6,35.9
4494C7,KO,10.58,18.67,23.54,26.25,28.95,31.4,36.4,40.7
4494C8,WT,11.85,19.9,22.93,25.78,29.78,32.5,32.7,37.7
4494C9,FLOX,11.12,18.71,22.84,25.34,27.9,29.88,36,35.7
4495D6,,9.94,17.44,21.72,25.03,28.21,32.5,33.5,35.5
4495D7,,10.4,17.87,22.81,25.5,28.42,31.2,32.3,34
4495D8,,9.94,17.97,21.79,24.03,26.3,28.9,30.4,31.9
4495D9,,8.88,16.26,21.27,24.84,27.86,31.3,34,37.2
4495D10,,10.28,17.12,21.96,25.02,27.3,30.4,33.3,37
4495D11,,9.48,17.5,21.86,24.58,27.34,29.1,32.4,34.2
4494D4,WT,,17.46,24.7,26.1,33.8,37.4,,
4494D5,CRE+ ,,16.74,23.18,29.9,27.5,30.5,,
4494D6,CRE+ ,,16.42,22.9,26.9,30.6,33.7,,
4494D7,CRE+ ,,15.86,22.76,26.7,29,31.6,,
4494D8,CRE+ ,,16.98,22.77,25.4,28.4,31.2,,
4494D9,WT,,17.82,24.4,28,30.6,33.2,,
4484D10,FLOX,,16.48,22.5,24.9,27.3,30,,
4495 E1,CRE+ ,,13.67,22,26.3,29.9,,37.3,41.3
4495 E2,FLOX,,14.34,22.3,24.7,26.9,,30.3,32.2
4495 E3,WT,,11.48,18.7,21.5,24.3,,29.1,31.2
5634B1,WT,,15.2,21.1,,26.3,28.1,32.1,34.3
5634B2,CRE+ ,,15.4,22.1,,29.4,30.7,34.9,36.9
5634B3,WT,,15.3,23.3,,36.9,39.3,45,47.3
5634B4,FLOX,,16.1,21.9,,27.4,29.5,32.2,34.5
5634B5,,,14.2,,,,,,
5634B6,WT,,13.8,21.3,,29.5,31.8,34,35
4494 E1,WT,,,22.3,24.1,26.6,30.2,30.6,32.7
4494 E2,,,,21.7,23.6,28,28.3,33.8,36.4
4494 E3,FLOX,,,22.6,24.2,27.4,30.4,33.6,35.9
4494 E4,WT,,,21.8,,,,,
4494 E5,WT,,,21.4,23.3,26.6,31.3,30.2,32.5
4494 E6,CRE+ ,,,22.5,24.1,28.4,29,34.1,37.2
4494 E7,CRE+ ,,,22.6,23.7,27,29.9,33.7,36.2
6236A1,CRE+ ,,22.4,24.9,27.9,31,35.7,38.7,42.5
6236A2,CRE+ ,,23.9,28.2,34,39.3,43.5,46.7,48.7
6236A3,FLOX,,25,27.1,29.6,33.3,36.7,39.4,42.2
6236A4,WT,,22.1,24.5,29.1,33,35.9,38.6,40.8
6236A5,CRE+ ,,23.5,25.9,30.4,35.2,40.4,42.7,45.5
5634D4,CRE+ ,,12.7,20.5,23,24.5,26.5,29.1,34.6
5634D5,CRE+ ,,12.7,21.2,23.8,25.6,29.2,32.6,30.2
5634D6,FLOX,,11.6,20,22.9,25.1,27.8,31.4,34
5634D7,,,11.9,20.5,23.2,25.8,28.4,31.7,33.7
5634D8,WT,,13.7,21.4,25.2,27.8,31.1,33.2,39.4
5634D9,CRE+ ,,13.3,21.7,25.6,28.1,31.3,35,36.3
5634D10,WT,,13.2,21.5,24.8,27.4,31.1,33.5,37
4494F5,CRE+ ,,18.8,22.6,23.6,26.5,30.5,33.4,36
4494F6,CRE+ ,,18,22.8,25.5,28,28.8,36.7,39.6
4494F7,CRE+ ,,18.7,24.2,27.1,31,33.4,39.2,42.7
4494F8,CRE+ ,,18.3,22.5,25.5,27.7,26.8,38.7,41.6
4494F9,CRE+ ,,17.8,21.6,24,25.9,31.3,29.8,32.7
4494F10,CRE+ ,,18,22.9,24.7,26.3,27.9,31.1,32.8
5634 E2,,,16.6,22.3,24,28.5,31.1,,
5634 E3,,,14.5,20.8,23.5,28.5,29.9,,
5634 E4,,,15.6,20.7,22.3,27.8,30.3,,
5634 E5,,,12.4,,,,,,
5634 E6,,,14.6,21.4,24.1,30.1,31.9,,
5634F1,,14.8,22.5,25.7,,,,,
5634F2,,12.5,20.3,26.9,,,,,
5634F3,,14.1,22.6,25.5,,,,,
5634F4,,11.1,19.4,22.4,,,,,
